Лемма,Частота
сказать,110
князь,94
павлович,71
анна,65
свой,52
говорить,51
пьер,50
который,49
это,44
виконт,40
человек,38
лицо,32
княгиня,32
vous,29
знать,27
очень,27
ипполит,27
андрей,27
рука,24
весь,23
один,23
que,22
маленький,22
василий,21
хотеть,21
мочь,20
слово,19
улыбка,17
видеть,17
ваш,17
молодой,17
mon,16
тот,16
милый,16
продолжать,16
les,15
разговор,15
хороший,15
улыбаться,15
аббат,15
вечер,14
бонапарт,14
общество,14
стать,14
приехать,13
думать,13
время,13
сделать,13
отец,13
дело,13
другой,13
des,12
быть,12
глаз,12
улыбнуться,12
герцог,12
pas,11
отвечать,11
такой,11
наш,11
этот,11
просить,11
первый,10
une,10
свет,10
чтоть,10
мой,10
болконский,10
слишком,10
слушать,10
плечо,10
выражение,9
подойти,9
анне,9
ежели,9
государь,9
обещать,9
взять,9
жена,9
элен,9
красивый,9
речь,9
bien,8
plus,8
идти,8
ребёнок,8
война,8
понять,8
vicomte,8
сын,8
голова,8
видимо,8
княжна,8
вид,8
казаться,8
женщина,8
pour,8
наполеон,8
год,7
monsieur,7
войти,7
тон,7
иметь,7
нынче,7
дочь,7
великий,7
революция,7
принять,7
cest,7
знак,7
votre,7
право,7
выйти,7
какой,7
гость,7
работа,7
смотреть,7
обратиться,7
чтонибыть,7
кружка,7
дама,7
рассказ,7
comme,6
императрица,6
несколько,6
лакей,6
tout,6
надеяться,6
праздник,6
несмотря,6
хотя,6
выражать,6
россия,6
высокий,6
добрый,6
мир,6
бог,6
император,6
прибавить,6
интересный,6
été,6
каждый,6
немой,6
глядеть,6
ждать,6
делать,6
особенно,6
умный,6
друг,6
прежде,6
здоровье,6
начать,6
красавица,6
платье,6
большой,6
стол,6
уметь,6
муж,6
проговорить,6
рассказать,6
передний,6
qui,6
свобода,6
карета,6
верный,5
известный,5
новый,5
pauvre,5
французский,5
поцеловать,5
диван,5
голос,5
верить,5
напротив,5
est,5
фамилия,5
барон,5
место,5
mais,5
выказывать,5
анатоль,5
поговорить,5
покойный,5
около,5
petite,5
кутузов,5
нужно,5
femme,5
кроме,5
бедный,5
петербург,5
самый,5
tante,5
тётушка,5
хорошенький,5
красота,5
полный,5
обращаться,5
страх,5
уйти,5
торопливо,5
сидеть,5
пожилой,5
прямо,5
пожать,5
перейти,5
тело,5
анекдот,5
равновесие,5
спросить,5
поехать,5
история,5
смеяться,5
гвардия,5
трудно,5
ils,5
народ,5
равенство,5
prince,4
buonaparte,4
раб,4
рассказывать,4
шерер,4
annette,4
dieu,4
светлый,4
свойственный,4
усесться,4
chère,4
посланник,4
привычка,4
старый,4
положение,4
черта,4
политический,4
действие,4
должный,4
европа,4
благодетель,4
мы,4
мысль,4
против,4
cette,4
остановиться,4
король,4
дать,4
желать,4
величество,4
взгляд,4
пора,4
ласково,4
жизнь,4
любить,4
стоить,4
себя,4
princesse,4
показать,4
ход,4
жить,4
lise,4
адъютант,4
сторона,4
решить,4
готовый,4
мортемара,4
морио,4
прекрасный,4
девушка,4
лиза,4
гостиная,4
никто,4
особенный,4
весело,4
сам,4
хозяйка,4
дожидаться,4
тихо,4
остановить,4
дом,4
нога,4
энгиенский,4
cher,4
свидание,4
власть,4
мешать,4
идея,4
рост,4
француз,4
желание,4
très,4
souverains,4
мнение,4
убийство,4
поступок,4
мсьё,4
порусски,4
sont,3
famille,3
non,3
nous,3
guerre,3
toutes,3
фрейлина,3
faire,3
soirée,3
quelle,3
сиять,3
comment,3
изз,3
я,3
ces,3
décidé,3
par,3
скучать,3
общественный,3
находить,3
нужный,3
австрия,3
понимать,3
исполнить,3
кто,3
спрашивать,3
душа,3
судьба,3
франция,3
правда,3
функа,3
стараться,3
нравиться,3
грустный,3
представить,3
уважение,3
грусть,3
женский,3
рекомендовать,3
fait,3
молчание,3
светский,3
прелестный,3
dit,3
серьёзно,3
рот,3
suis,3
объяснять,3
personne,3
соображение,3
сила,3
пойти,3
богатый,3
собеседница,3
ред,3
случай,3
послушать,3
писать,3
возраст,3
вместе,3
знакомый,3
имя,3
любезный,3
ридикюль,3
изящный,3
грудь,3
генерал,3
толстый,3
граница,3
салон,3
действительно,3
мужчина,3
pierre,3
говориться,3
мосье,3
пользоваться,3
подавать,3
тотчас,3
подняться,3
котора,3
гостиный,3
пройти,3
бал,3
madame,3
оглядываться,3
попросить,3
приняться,3
charmant,3
гримаса,3
лорнет,3
этоть,3
мила,3
иголка,3
оценить,3
страшный,3
успеть,3
последний,3
борис,3
перевести,3
затем,3
увидеть,3
однако,3
отдать,3
повторить,3
revoir,3
leur,3
повернуться,3
герой,3
бурбон,3
цареубийство,3
решиться,3
выходка,3
faut,3
надеть,3
фыркнуть,3
шляпа,3
господин,3
ответить,3
стоять,3
шаль,3
ты,3
gênes,2
lucques,2
поместье,2
dites,2
cet,2
crois,2
nêtes,2
здравствуйте,2
садиться,2
мария,2
день,2
грипп,2
красный,2
написать,2
различие,2
rien,2
chez,2
malade,2
voir,2
moi,2
придворный,2
шитый,2
чулок,2
башмак,2
язык,2
тихий,2
значительный,2
подставить,2
ditesmoi,2
приличие,2
участие,2
насмешка,2
чувство,2
оставаться,2
показаться,2
заехать,2
нынешний,2
devenir,2
quaton,2
savez,2
роль,2
сорок,2
энтузиастка,2
сделаться,2
делаться,2
недостаток,2
середина,2
призвание,2
ужасный,2
англия,2
александр,2
новосильцев,2
благо,2
пруссия,2
объявить,2
nest,2
спасти,2
горячность,2
послать,2
